horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
10,"[0.0,0.1)",1670,0.01120059880239521,0.01437125748502994,509850.870845414
10,"[0.1,0.2)",223,0.15023766816143497,0.21076233183856502,233952.98571893576
10,"[0.2,0.3)",303,0.24965841584158416,0.30033003300330036,245389.75130664962
10,"[0.3,0.4)",299,0.3472692307692308,0.3879598662207358,321648.9614264946
10,"[0.4,0.5)",703,0.4664189189189189,0.49644381223328593,290079.80205802276
10,"[0.5,0.6)",5014,0.5062070203430394,0.497207818109294,125986.6753202813
10,"[0.6,0.7)",174,0.6428333333333333,0.603448275862069,296697.43880430446
10,"[0.7,0.8)",138,0.7413949275362319,0.6739130434782609,377148.7275999494
10,"[0.8,0.9)",73,0.8403082191780822,0.821917808219178,383707.7741415893
10,"[0.9,1.0]",414,0.9894154589371981,0.9951690821256038,447533.9366436308
30,"[0.0,0.1)",1665,0.011603603603603603,0.013813813813813814,506977.2108078507
30,"[0.1,0.2)",218,0.15112614678899083,0.21559633027522937,272397.80878073716
30,"[0.2,0.3)",298,0.24985570469798657,0.2986577181208054,249076.90646378137
30,"[0.3,0.4)",299,0.34775919732441474,0.40468227424749165,316307.1645007856
30,"[0.4,0.5)",722,0.46662950138504156,0.4889196675900277,287801.7377639654
30,"[0.5,0.6)",4945,0.5062587462082913,0.49706774519716884,125968.68456979463
30,"[0.6,0.7)",172,0.6432267441860465,0.5872093023255814,299551.57473463356
30,"[0.7,0.8)",132,0.7413484848484849,0.6893939393939394,390221.752791735
30,"[0.8,0.9)",73,0.8406164383561644,0.8082191780821918,377125.66275138385
30,"[0.9,1.0]",411,0.9896399026763991,0.9951338199513382,450451.08340513654
60,"[0.0,0.1)",1656,0.011969806763285023,0.015096618357487922,508491.49176806846
60,"[0.1,0.2)",230,0.15085434782608695,0.23478260869565218,259675.30818416385
60,"[0.2,0.3)",299,0.2512257525083612,0.2976588628762542,243610.7596040664
60,"[0.3,0.4)",300,0.3482483333333333,0.37666666666666665,324191.9787506429
60,"[0.4,0.5)",660,0.46548106060606054,0.4909090909090909,299278.83565649396
60,"[0.5,0.6)",4852,0.5060785243198681,0.4977328936521022,126219.85534420474
60,"[0.6,0.7)",183,0.6420765027322405,0.5792349726775956,299423.03559578676
60,"[0.7,0.8)",133,0.7436353383458646,0.6842105263157895,392106.32086412795
60,"[0.8,0.9)",81,0.8412037037037038,0.7901234567901234,368339.1106976052
60,"[0.9,1.0]",401,0.9910087281795511,0.9975062344139651,457266.7659417784
120,"[0.0,0.1)",1642,0.012457064555420219,0.016443361753958587,511488.9970206208
120,"[0.1,0.2)",210,0.15207380952380953,0.20952380952380953,272995.53653680335
120,"[0.2,0.3)",304,0.24843256578947367,0.28289473684210525,251018.53614329553
120,"[0.3,0.4)",314,0.34579617834394905,0.3885350318471338,299597.41165459837
120,"[0.4,0.5)",653,0.46635068912710564,0.49157733537519144,302843.7968700566
120,"[0.5,0.6)",4657,0.5061729654283874,0.4988189821773674,126602.55687977785
120,"[0.6,0.7)",180,0.6389861111111111,0.5777777777777777,298906.3505119499
120,"[0.7,0.8)",139,0.7422517985611511,0.6762589928057554,389211.42830539576
120,"[0.8,0.9)",78,0.8409551282051282,0.8205128205128205,369823.0516820899
120,"[0.9,1.0]",379,0.9900712401055409,0.9973614775725593,473752.58280093444
240,"[0.0,0.1)",1585,0.01241293375394322,0.015772870662460567,531538.125525474
240,"[0.1,0.2)",245,0.1499734693877551,0.20816326530612245,222666.43988217053
240,"[0.2,0.3)",297,0.2544242424242424,0.2996632996632997,234789.3568973026
240,"[0.3,0.4)",293,0.3475443686006826,0.3924914675767918,347043.35536569584
240,"[0.4,0.5)",608,0.4638782894736842,0.49506578947368424,317709.33669656573
240,"[0.5,0.6)",4345,0.5061494821634063,0.49689298043728425,126037.72022830576
240,"[0.6,0.7)",171,0.6400350877192982,0.5964912280701754,320336.38365290634
240,"[0.7,0.8)",137,0.7438248175182481,0.6423357664233577,416738.43272954033
240,"[0.8,0.9)",79,0.8467215189873418,0.8734177215189873,302770.8944497596
240,"[0.9,1.0]",342,0.9900672514619884,0.9970760233918129,493552.39424445067
360,"[0.0,0.1)",1570,0.01274203821656051,0.01464968152866242,534806.7940554066
360,"[0.1,0.2)",226,0.1517278761061947,0.20353982300884957,239157.0018277601
360,"[0.2,0.3)",307,0.25216123778501626,0.3127035830618892,255759.3774139865
360,"[0.3,0.4)",282,0.3490921985815603,0.375886524822695,351945.5074772691
360,"[0.4,0.5)",563,0.46278419182948494,0.4724689165186501,323101.4741205115
360,"[0.5,0.6)",3942,0.5062852612886859,0.5027904616945713,128028.67239436392
360,"[0.6,0.7)",177,0.6415677966101695,0.6101694915254238,336281.4717897288
360,"[0.7,0.8)",135,0.7413851851851853,0.6518518518518519,389381.5913503408
360,"[0.8,0.9)",66,0.8393636363636364,0.8636363636363636,357082.86567572755
360,"[0.9,1.0]",336,0.9884032738095238,0.9940476190476191,498970.60660029505
1440,"[0.0,0.1)",1415,0.015052296819787985,0.019787985865724382,577610.6445252929
1440,"[0.1,0.2)",248,0.14807459677419357,0.1814516129032258,212051.05179539032
1440,"[0.2,0.3)",317,0.24967665615141954,0.3028391167192429,255848.7304015892
1440,"[0.3,0.4)",292,0.34585445205479454,0.3732876712328767,322942.4255999206
1440,"[0.4,0.5)",311,0.4545353697749196,0.43086816720257237,472465.20075848553
1440,"[0.5,0.6)",755,0.5148615894039735,0.5178807947019868,204826.39501918262
1440,"[0.6,0.7)",138,0.6407608695652174,0.6594202898550725,341166.831576348
1440,"[0.7,0.8)",107,0.7417336448598131,0.6448598130841121,335823.0331893926
1440,"[0.8,0.9)",68,0.8488455882352941,0.8970588235294118,675776.2218867065
1440,"[0.9,1.0]",294,0.9879591836734695,0.9897959183673469,483170.3612067962
2880,"[0.0,0.1)",1313,0.017014089870525516,0.019801980198019802,606452.194853471
2880,"[0.1,0.2)",290,0.1468793103448276,0.17586206896551723,241497.04683028208
2880,"[0.2,0.3)",337,0.2485860534124629,0.3115727002967359,217816.98039099653
2880,"[0.3,0.4)",247,0.34213360323886643,0.3684210526315789,345148.41878122184
2880,"[0.4,0.5)",281,0.4516067615658363,0.41637010676156583,472029.6212456871
2880,"[0.5,0.6)",295,0.5312033898305085,0.5661016949152542,373472.09713145386
2880,"[0.6,0.7)",127,0.6434645669291339,0.6141732283464567,295780.54417446465
2880,"[0.7,0.8)",99,0.7462979797979797,0.696969696969697,481995.7511446473
2880,"[0.8,0.9)",53,0.8502830188679245,0.9056603773584906,585625.7777163576
2880,"[0.9,1.0]",275,0.9849363636363637,0.9927272727272727,497458.9265077422
