category,horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
Crypto,10,"[0.0,0.1)",222,0.008882882882882883,0.0,749266.2613983278
Crypto,10,"[0.1,0.2)",12,0.15504166666666666,0.16666666666666666,302756.04023358313
Crypto,10,"[0.2,0.3)",9,0.2493333333333333,0.3333333333333333,255424.37533533334
Crypto,10,"[0.3,0.4)",10,0.344,0.4,280423.72362650005
Crypto,10,"[0.4,0.5)",58,0.48379310344827586,0.5344827586206896,142510.14451215506
Crypto,10,"[0.5,0.6)",2861,0.504232785739252,0.5033205173016427,139180.6519451033
Crypto,10,"[0.6,0.7)",7,0.6422857142857143,0.5714285714285714,476419.25787357177
Crypto,10,"[0.7,0.8)",5,0.75,0.6,255104.76679660022
Crypto,10,"[0.8,0.9)",7,0.8461428571428572,0.7142857142857143,379254.91842528584
Crypto,10,"[0.9,1.0]",70,0.9871928571428571,1.0,590689.0676262578
Culture,10,"[0.0,0.1)",138,0.007072463768115942,0.0,518685.3314944631
Culture,10,"[0.1,0.2)",7,0.14457142857142857,0.2857142857142857,833265.6540854282
Culture,10,"[0.2,0.3)",2,0.2145,0.0,1961216.0230024904
Culture,10,"[0.3,0.4)",3,0.3405,0.3333333333333333,522712.36148833385
Culture,10,"[0.4,0.5)",4,0.44125000000000003,0.75,398586.0919115007
Culture,10,"[0.5,0.6)",4,0.5465,0.75,1162726.9169067494
Culture,10,"[0.6,0.7)",4,0.634375,0.5,924486.0853162464
Culture,10,"[0.7,0.8)",4,0.73475,0.75,471755.9547815004
Culture,10,"[0.9,1.0]",7,0.9855,1.0,185889.16751471418
Economy,10,"[0.0,0.1)",66,0.0030303030303030303,0.0,4396786.013394473
Economy,10,"[0.1,0.2)",1,0.1425,0.0,115256.003502
Economy,10,"[0.2,0.3)",1,0.295,1.0,372727.52406800026
Economy,10,"[0.3,0.4)",1,0.34,1.0,484811.48123300046
Economy,10,"[0.4,0.5)",6,0.44333333333333336,0.16666666666666666,232729.13639366662
Economy,10,"[0.5,0.6)",5,0.52,1.0,247072.5666496
Economy,10,"[0.6,0.7)",2,0.6225,0.0,207369.3641055
Economy,10,"[0.9,1.0]",7,0.9955,1.0,685809.1548461441
Politics,10,"[0.0,0.1)",124,0.008879032258064516,0.016129032258064516,2211102.5139416372
Politics,10,"[0.1,0.2)",7,0.13542857142857143,0.0,1631782.2138957002
Politics,10,"[0.2,0.3)",5,0.2451,0.4,761549.8570158
Politics,10,"[0.4,0.5)",2,0.4425,0.5,1361734.1394919984
Politics,10,"[0.5,0.6)",2,0.5495,0.5,4435915.300781004
Politics,10,"[0.6,0.7)",2,0.6525000000000001,1.0,194022.40492249973
Politics,10,"[0.7,0.8)",2,0.74675,1.0,300349.9329094998
Politics,10,"[0.9,1.0]",14,0.9903928571428572,1.0,2023665.2530817208
Science,10,"[0.0,0.1)",2,0.031,0.0,201680.56840049993
Sports,10,"[0.0,0.1)",197,0.011373096446700507,0.01015228426395939,477426.1531620814
Sports,10,"[0.1,0.2)",55,0.15540909090909089,0.2545454545454545,827024.0176721773
Sports,10,"[0.2,0.3)",110,0.25536363636363635,0.3181818181818182,756274.431164382
Sports,10,"[0.3,0.4)",147,0.3488265306122449,0.4217687074829932,740908.0653168157
