category,horizon_min,n,n_unique_markets,predicted_mean,observed_yes_rate,mae,brier,mean_signed_error,mean_volume
Crypto,10,3261,3261,0.47944158233670653,0.4789941735663907,0.4543563324133701,0.2270434544618215,0.0004474087703158573,193237.70331986307
Sports,10,1634,1634,0.48191585067319465,0.4975520195838433,0.3644978580171358,0.18747007175642594,-0.015636168910648708,625614.1003024189
Uncategorized,10,982,982,0.46329124236252545,0.439918533604888,0.4294073319755601,0.2167923732179226,0.023372708757637476,154414.82687598464
Culture,10,173,173,0.1142456647398844,0.12138728323699421,0.07428034682080925,0.03632342919075144,-0.007141618497109825,555106.6405986756
Politics,10,158,158,0.13874999999999998,0.1518987341772152,0.058028481012658215,0.028038289556962016,-0.013148734177215187,2090647.4279143421
Technology,10,99,99,0.15896969696969696,0.23232323232323232,0.17895959595959596,0.11163741919191918,-0.07335353535353535,322999.41840355616
Economy,10,89,89,0.16237078651685394,0.16853932584269662,0.09251685393258427,0.047834264044943814,-0.006168539325842694,3359638.341085194
World,10,27,27,0.09177777777777776,0.1111111111111111,0.13103703703703704,0.07502918518518518,-0.019333333333333334,5820820.331206614
Science,10,2,2,0.031,0.0,0.031,0.00183125,0.031,201680.56840049993
Crypto,30,3224,3224,0.4790825062034739,0.4792183622828784,0.4540049627791563,0.22688146789702232,-0.0001358560794044633,193964.7998715296
Sports,30,1627,1627,0.48171020282728944,0.49784880147510757,0.36407037492317146,0.18702117655193606,-0.016138598647818064,626812.9148943255
Uncategorized,30,974,974,0.4633459958932238,0.4383983572895277,0.4299219712525667,0.21718933572895274,0.0249476386036961,154848.35809570528
Culture,30,173,173,0.11403179190751445,0.12138728323699421,0.07177167630057803,0.033614819364161844,-0.007355491329479766,555106.6405986756
Politics,30,158,158,0.13934177215189875,0.1518987341772152,0.05768354430379746,0.027752082278481006,-0.012556962025316453,2090647.4279143421
Technology,30,99,99,0.15952525252525254,0.23232323232323232,0.17914141414141413,0.11161692424242424,-0.07279797979797979,322999.41840355616
Economy,30,89,89,0.1605056179775281,0.16853932584269662,0.09210112359550561,0.04862161235955056,-0.008033707865168539,3359638.341085194
World,30,27,27,0.09077777777777778,0.1111111111111111,0.13218518518518518,0.07677066666666665,-0.02033333333333333,5820820.331206614
Science,30,2,2,0.03225,0.0,0.03225,0.001866625,0.03225,201680.56840049993
Crypto,60,3164,3164,0.4790962389380531,0.47914032869785084,0.453469816687737,0.22668460785398228,-4.4089759797721685e-05,195334.76746646504
Sports,60,1588,1588,0.48214011335012597,0.49433249370277077,0.3624379722921914,0.1864969752833753,-0.012192380352644831,633490.8957245431
Uncategorized,60,951,951,0.461931650893796,0.4374342797055731,0.42853627760252366,0.2168760483701367,0.024497371188222927,155148.383275246
Culture,60,173,173,0.11385838150289018,0.12138728323699421,0.07300867052023122,0.03418722109826589,-0.007528901734104045,555106.6405986756
Politics,60,158,158,0.14062658227848102,0.1518987341772152,0.05686075949367087,0.027523259493670876,-0.011272151898734173,2090647.4279143421
Technology,60,99,99,0.15814646464646465,0.23232323232323232,0.1802070707070707,0.11266312373737372,-0.07417676767676767,322999.41840355616
Economy,60,89,89,0.16014606741573034,0.16853932584269662,0.09008988764044942,0.046081134831460674,-0.008393258426966293,3359638.341085194
World,60,27,27,0.08551851851851852,0.1111111111111111,0.12677777777777777,0.07490496296296295,-0.02559259259259259,5820820.331206614
Science,60,2,2,0.06125,0.0,0.06125,0.00708662499999995,0.06125,201680.56840049993
Crypto,120,3075,3075,0.4784112195121951,0.479349593495935,0.4519510569105691,0.22569053195121952,-0.0009383739837398342,197269.63054858812
Sports,120,1565,1565,0.47943258785942494,0.4913738019169329,0.36283706070287536,0.18577363354632587,-0.011941214057507981,634723.4776717684
Uncategorized,120,925,925,0.46128,0.43891891891891893,0.4261037837837838,0.21535538810810811,0.022361081081081088,156017.01381280966
Culture,120,173,173,0.11399421965317919,0.12138728323699421,0.07380346820809248,0.03388450867052022,-0.007393063583815027,555106.6405986756
Politics,120,158,158,0.14353164556962025,0.1518987341772152,0.06671518987341771,0.03281719620253164,-0.008367088607594934,2090647.4279143421
