category,horizon_min,n,n_unique_markets,raw_predicted_mean,calibrated_predicted_mean,observed_yes_rate,raw_mae,raw_brier,calibrated_mae,calibrated_brier,mean_signed_isotonic_gap,mean_abs_isotonic_gap,share_positive_isotonic_gap,mean_volume
Crypto,10,3261,3261,0.4794415823367065,0.4789941735663907,0.4789941735663907,0.4543563324133701,0.22704345446182156,0.45273125664310016,0.22636562832155002,0.00044740877031592893,0.004231581098986446,0.7776755596442809,193237.70331986307
Sports,10,1634,1634,0.48191585067319465,0.4975520195838433,0.4975520195838433,0.3644978580171359,0.18747007175642594,0.36507428036073747,0.18253714018036868,-0.015636168910648708,0.03826708817498291,0.34577723378212977,625614.1003024188
Uncategorized,10,982,982,0.46329124236252545,0.43991853360488803,0.439918533604888,0.4294073319755601,0.2167923732179226,0.42692202220411013,0.21346101110205506,0.023372708757637466,0.029945503919027325,0.9083503054989817,154414.82687598464
Culture,10,173,173,0.11424566473988439,0.12138728323699421,0.12138728323699421,0.07428034682080922,0.03632342919075145,0.05899456997722893,0.029497284988614467,-0.007141618497109825,0.02249316868102995,0.8265895953757225,555106.6405986755
Politics,10,158,158,0.13875,0.1518987341772152,0.1518987341772152,0.058028481012658215,0.028038289556962026,0.04360056258790436,0.02180028129395218,-0.013148734177215187,0.02386040787623066,0.7721518987341772,2090647.4279143417
Technology,10,99,99,0.158969696969697,0.23232323232323232,0.23232323232323232,0.17895959595959596,0.11163741919191922,0.1805496609418178,0.09027483047090891,-0.07335353535353535,0.0742121212121212,0.37373737373737376,322999.4184035561
Economy,10,89,89,0.16237078651685394,0.16853932584269665,0.16853932584269662,0.09251685393258426,0.047834264044943835,0.07423756019261638,0.03711878009630819,-0.006168539325842694,0.023078651685393258,0.8202247191011236,3359638.341085194
World,10,27,27,0.09177777777777776,0.1111111111111111,0.1111111111111111,0.13103703703703704,0.07502918518518518,0.08888888888888889,0.04444444444444445,-0.019333333333333327,0.0514074074074074,0.8148148148148148,5820820.331206615
Science,10,2,2,0.031,0.0,0.0,0.031,0.00183125,0.0,0.0,0.031,0.031,1.0,201680.56840049993
Crypto,30,3224,3224,0.4790825062034739,0.4792183622828783,0.4792183622828784,0.4540049627791563,0.22688146789702232,0.45222358960517645,0.22611179480258825,-0.00013585607940446432,0.004512743487670663,0.7723325062034739,193964.7998715296
Sports,30,1627,1627,0.48171020282728944,0.49784880147510757,0.49784880147510757,0.36407037492317146,0.18702117655193606,0.3649728444937292,0.1824864222468646,-0.016138598647818064,0.03803227682874895,0.37553779963122313,626812.9148943254
Uncategorized,30,974,974,0.4633459958932238,0.4383983572895277,0.4383983572895277,0.4299219712525667,0.21718933572895277,0.4270042260074694,0.21350211300373476,0.024947638603696108,0.030445755044695936,0.9260780287474333,154848.35809570528
Culture,30,173,173,0.11403179190751445,0.12138728323699421,0.12138728323699421,0.07177167630057801,0.033614819364161844,0.05472061657032754,0.02736030828516378,-0.007355491329479771,0.02308959537572254,0.8265895953757225,555106.6405986755
Politics,30,158,158,0.13934177215189877,0.1518987341772152,0.1518987341772152,0.05768354430379745,0.027752082278481013,0.043741209563994375,0.021870604781997188,-0.012556962025316453,0.023459915611814344,0.7658227848101266,2090647.4279143417
Technology,30,99,99,0.15952525252525251,0.23232323232323232,0.23232323232323232,0.17914141414141418,0.11161692424242424,0.18154191487524823,0.0907709574376241,-0.0727979797979798,0.07552602952602952,0.45454545454545453,322999.4184035561
