horizon_min,volume_bucket,bin_start,bin_end,bin_mid,n,mean_signed_isotonic_gap,mean_abs_isotonic_gap,decile_volume_min,decile_volume_max
10,Decile 1 (lowest),0.0,0.1,0.05,56,-6.481060166001853e-05,0.004220553543998245,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.1,0.2,0.15000000000000002,16,-0.06583354591836735,0.06583354591836735,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.2,0.30000000000000004,0.25,21,-0.049452058731791315,0.04950064959670871,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.3,0.4,0.35,11,-0.07820008699434539,0.07820008699434539,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.4,0.5,0.45,29,-0.015757972970022214,0.016640989405729587,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.5,0.6,0.55,478,0.0028185473385560714,0.0036208260651339054,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.6,0.7,0.6499999999999999,7,0.07405268490374871,0.07405268490374871,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.7,0.7999999999999999,0.75,6,0.08846804162021556,0.08846804162021556,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.8,0.9,0.8500000000000001,4,0.03384615384615389,0.08884615384615388,88431.65343399995,97653.01383199994
10,Decile 1 (lowest),0.9,1.0,0.95,15,-0.015633333333333298,0.015633333333333298,88431.65343399995,97653.01383199994
10,Decile 2,0.0,0.1,0.05,49,0.0037187179019073074,0.0042379541678422535,97666.63496399978,106881.43025299977
10,Decile 2,0.1,0.2,0.15000000000000002,10,-0.06148979591836734,0.06148979591836734,97666.63496399978,106881.43025299977
10,Decile 2,0.2,0.30000000000000004,0.25,14,-0.08959902869825458,0.08959902869825458,97666.63496399978,106881.43025299977
10,Decile 2,0.3,0.4,0.35,7,-0.08750035678607111,0.08750035678607111,97666.63496399978,106881.43025299977
10,Decile 2,0.4,0.5,0.45,31,-0.01440792723979781,0.015096300267634203,97666.63496399978,106881.43025299977
10,Decile 2,0.5,0.6,0.55,506,0.003139654179761908,0.0037376951985299773,97666.63496399978,106881.43025299977
10,Decile 2,0.6,0.7,0.6499999999999999,3,0.04833847260766777,0.04833847260766777,97666.63496399978,106881.43025299977
10,Decile 2,0.7,0.7999999999999999,0.75,2,0.10119565217391308,0.10119565217391308,97666.63496399978,106881.43025299977
10,Decile 2,0.8,0.9,0.8500000000000001,5,0.0065294117647058504,0.06947058823529409,97666.63496399978,106881.43025299977
10,Decile 2,0.9,1.0,0.95,15,-0.005299999999999957,0.005299999999999957,97666.63496399978,106881.43025299977
10,Decile 3,0.0,0.1,0.05,57,0.0020864090967456597,0.005786492638934464,106926.299194,117080.93029499936
10,Decile 3,0.1,0.2,0.15000000000000002,6,-0.06907312925170069,0.06907312925170069,106926.299194,117080.93029499936
10,Decile 3,0.2,0.30000000000000004,0.25,10,-0.0920995506956098,0.0920995506956098,106926.299194,117080.93029499936
10,Decile 3,0.3,0.4,0.35,9,-0.08795166821482613,0.08795166821482613,106926.299194,117080.93029499936
10,Decile 3,0.4,0.5,0.45,30,-0.022443747036679958,0.02287053831393852,106926.299194,117080.93029499936
10,Decile 3,0.5,0.6,0.55,492,0.0036063409704468175,0.00415172899175364,106926.299194,117080.93029499936
10,Decile 3,0.6,0.7,0.6499999999999999,14,0.06555779481080126,0.06555779481080126,106926.299194,117080.93029499936
10,Decile 3,0.7,0.7999999999999999,0.75,5,0.085494983277592,0.085494983277592,106926.299194,117080.93029499936
10,Decile 3,0.8,0.9,0.8500000000000001,1,0.03500000000000003,0.03500000000000003,106926.299194,117080.93029499936
10,Decile 3,0.9,1.0,0.95,21,-0.0032619047619047146,0.0032619047619047146,106926.299194,117080.93029499936
10,Decile 4,0.0,0.1,0.05,56,0.0003467556377389665,0.005057728736655954,117083.72990699932,129212.42595099966
10,Decile 4,0.1,0.2,0.15000000000000002,1,-0.08948979591836734,0.08948979591836734,117083.72990699932,129212.42595099966
10,Decile 4,0.2,0.30000000000000004,0.25,12,-0.06579270196142117,0.06671106930835995,117083.72990699932,129212.42595099966
10,Decile 4,0.3,0.4,0.35,8,-0.08063696172248805,0.08063696172248805,117083.72990699932,129212.42595099966
10,Decile 4,0.4,0.5,0.45,27,-0.025787004774193694,0.025945075617622798,117083.72990699932,129212.42595099966
10,Decile 4,0.5,0.6,0.55,509,0.003252653563026655,0.003951233223275015,117083.72990699932,129212.42595099966
10,Decile 4,0.6,0.7,0.6499999999999999,8,0.07335202744372496,0.07335202744372496,117083.72990699932,129212.42595099966
10,Decile 4,0.7,0.7999999999999999,0.75,6,0.08236120401337794,0.08236120401337794,117083.72990699932,129212.42595099966
10,Decile 4,0.8,0.9,0.8500000000000001,5,0.037603167420814466,0.07147375565610856,117083.72990699932,129212.42595099966
10,Decile 4,0.9,1.0,0.95,10,-0.000599999999999945,0.000599999999999945,117083.72990699932,129212.42595099966
10,Decile 5,0.0,0.1,0.05,49,0.0025609054681780554,0.002655457574734963,129249.27908200015,144108.27398100015
10,Decile 5,0.1,0.2,0.15000000000000002,4,-0.05698979591836735,0.05698979591836735,129249.27908200015,144108.27398100015
10,Decile 5,0.2,0.30000000000000004,0.25,6,-0.09362091520958515,0.09379098323679602,129249.27908200015,144108.27398100015
10,Decile 5,0.3,0.4,0.35,6,-0.08479746569220253,0.08479746569220253,129249.27908200015,144108.27398100015
10,Decile 5,0.4,0.5,0.45,26,-0.023378819454898447,0.023707120437405034,129249.27908200015,144108.27398100015
10,Decile 5,0.5,0.6,0.55,517,0.0036612490361853686,0.004040086553343196,129249.27908200015,144108.27398100015
10,Decile 5,0.6,0.7,0.6499999999999999,10,0.07446885599753314,0.07446885599753314,129249.27908200015,144108.27398100015
