horizon_min,global_volume_bucket,mae,n,global_volume_min,global_volume_max
10,Decile 1 (lowest),0.44061119751166405,643,88431.65343399995,97653.01383199994
10,Decile 2,0.4467336448598131,642,97666.63496399978,106881.43025299977
10,Decile 3,0.4398654743390358,643,106926.299194,117080.93029499936
10,Decile 4,0.44721028037383176,642,117083.72990699932,129212.42595099966
10,Decile 5,0.4483864696734059,643,129249.27908200015,144108.27398100015
10,Decile 6,0.43491121495327106,642,144108.9833449998,163933.04739499989
10,Decile 7,0.40822352024922115,642,164018.97364100002,199565.025801
10,Decile 8,0.3372628304821151,643,199565.16298600027,300275.0529909999
10,Decile 9,0.2829330218068536,642,300653.0830789996,621381.3452940036
10,Decile 10 (highest),0.28355676516329703,643,621410.6510470011,172972056.63332495
30,Decile 1 (lowest),0.44013779527559055,635,88431.65343399995,97653.01383199994
30,Decile 2,0.44664420062695925,638,97666.63496399978,106881.43025299977
30,Decile 3,0.4398947784810127,632,106926.299194,117080.93029499936
30,Decile 4,0.4464446202531646,632,117083.72990699932,129212.42595099966
30,Decile 5,0.44805390625,640,129249.27908200015,144108.27398100015
30,Decile 6,0.43461792452830184,636,144108.9833449998,163933.04739499989
30,Decile 7,0.40751959247648906,638,164018.97364100002,199565.025801
30,Decile 8,0.33638845553822155,641,199565.16298600027,300275.0529909999
30,Decile 9,0.2826300940438871,638,300653.0830789996,621381.3452940036
30,Decile 10 (highest),0.2833118195956454,643,621410.6510470011,172972056.63332495
60,Decile 1 (lowest),0.4408664,625,88431.65343399995,97653.01383199994
60,Decile 2,0.4454748784440843,617,97666.63496399978,106881.43025299977
60,Decile 3,0.43806785137318255,619,106926.299194,117080.93029499936
60,Decile 4,0.4439496699669967,606,117083.72990699932,129212.42595099966
60,Decile 5,0.4471238095238095,630,129249.27908200015,144108.27398100015
60,Decile 6,0.43447698412698416,630,144108.9833449998,163933.04739499989
60,Decile 7,0.40477591706539073,627,164018.97364100002,199565.025801
60,Decile 8,0.3346168521462639,629,199565.16298600027,300275.0529909999
60,Decile 9,0.28241469194312796,633,300653.0830789996,621381.3452940036
60,Decile 10 (highest),0.2832188976377953,635,621410.6510470011,172972056.63332495
120,Decile 1 (lowest),0.43950082236842103,608,88431.65343399995,97653.01383199994
120,Decile 2,0.4431939291736931,593,97667.37895899997,106881.43025299977
120,Decile 3,0.43923837209302324,602,106926.299194,117080.93029499936
120,Decile 4,0.4427609797297298,592,117083.72990699932,129212.42595099966
120,Decile 5,0.44596399345335513,611,129249.27908200015,144108.27398100015
120,Decile 6,0.43185399673735725,613,144108.9833449998,163933.04739499989
120,Decile 7,0.4031453957996769,619,164018.97364100002,199565.025801
120,Decile 8,0.3308673139158576,618,199565.16298600027,300275.0529909999
120,Decile 9,0.2841295707472178,629,300653.0830789996,621381.3452940036
120,Decile 10 (highest),0.2841974522292994,628,621410.6510470011,172972056.63332495
180,Decile 1 (lowest),0.4376908462867012,579,88431.65343399995,97653.01383199994
180,Decile 2,0.44112152777777774,576,97667.37895899997,106881.43025299977
180,Decile 3,0.43536293103448276,580,106926.299194,117080.93029499936
180,Decile 4,0.44121837088388216,577,117083.72990699932,129212.42595099966
180,Decile 5,0.4444333333333333,585,129249.27908200015,144108.27398100015
180,Decile 6,0.4306308333333333,600,144108.9833449998,163933.04739499989
180,Decile 7,0.4014453642384106,604,164018.97364100002,199565.025801
180,Decile 8,0.3283596638655462,595,199565.16298600027,300275.0529909999
180,Decile 9,0.28288455284552844,615,300653.0830789996,621381.3452940036
180,Decile 10 (highest),0.2846061588330632,617,621410.6510470011,172972056.63332495
240,Decile 1 (lowest),0.4357822141560798,551,88431.65343399995,97653.01383199994
240,Decile 2,0.4385451263537906,554,97667.37895899997,106881.43025299977
240,Decile 3,0.433854609929078,564,106926.299194,117080.93029499936
240,Decile 4,0.43982671480144403,554,117083.72990699932,129212.42595099966
240,Decile 5,0.4436845878136201,558,129249.27908200015,144108.27398100015
240,Decile 6,0.4287783595113438,573,144108.9833449998,163933.04739499989
240,Decile 7,0.40257634228187916,596,164018.97364100002,199565.025801
240,Decile 8,0.3262291311754685,587,199565.16298600027,300275.0529909999
240,Decile 9,0.28445327868852455,610,300653.0830789996,621381.3452940036
240,Decile 10 (highest),0.2848190789473684,608,621410.6510470011,172972056.63332495
300,Decile 1 (lowest),0.4320714285714286,525,88432.19110999956,97653.01383199994
300,Decile 2,0.4376701323251418,529,97667.37895899997,106881.43025299977
300,Decile 3,0.4334935064935065,539,106926.299194,117080.93029499936
300,Decile 4,0.4349884615384615,520,117083.72990699932,129212.42595099966
300,Decile 5,0.44060436432637573,527,129249.27908200015,144108.27398100015
300,Decile 6,0.4266427272727273,550,144108.9833449998,163933.04739499989
300,Decile 7,0.40093478260869564,575,164018.97364100002,199565.025801
300,Decile 8,0.3237322357019064,577,199565.16298600027,300275.0529909999
300,Decile 9,0.28388935108153074,601,300653.0830789996,621381.3452940036
300,Decile 10 (highest),0.2841299668874172,604,621410.6510470011,172972056.63332495
360,Decile 1 (lowest),0.4301284584980237,506,88432.19110999956,97653.01383199994
360,Decile 2,0.43522539370078744,508,97667.37895899997,106881.43025299977
360,Decile 3,0.4316627680311891,513,106926.299194,117080.93029499936
360,Decile 4,0.43256012024048096,499,117083.72990699932,129212.42595099966
360,Decile 5,0.43661280487804877,492,129249.27908200015,144102.28453799957
360,Decile 6,0.4242654205607477,535,144108.9833449998,163933.04739499989
360,Decile 7,0.3958570127504554,549,164018.97364100002,199565.025801
360,Decile 8,0.3224920913884007,569,199565.16298600027,300275.0529909999
360,Decile 9,0.2840261382799325,593,300653.0830789996,621381.3452940036
360,Decile 10 (highest),0.28251497504159734,601,621410.6510470011,172972056.63332495
420,Decile 1 (lowest),0.42844171779141105,489,88432.19110999956,97653.01383199994
420,Decile 2,0.43190368852459016,488,97667.37895899997,106881.43025299977
420,Decile 3,0.42693581780538303,483,106926.299194,117080.93029499936
420,Decile 4,0.42770682302771856,469,117083.72990699932,129212.42595099966
420,Decile 5,0.43213755458515285,458,129249.27908200015,144102.28453799957
420,Decile 6,0.4200455445544554,505,144108.9833449998,163933.04739499989
420,Decile 7,0.39336380597014925,536,164018.97364100002,199565.025801
420,Decile 8,0.3202832733812949,556,199660.43247300017,300275.0529909999
420,Decile 9,0.2835076791808873,586,300653.0830789996,621381.3452940036
420,Decile 10 (highest),0.28175876460767946,599,621410.6510470011,172972056.63332495
480,Decile 1 (lowest),0.4262615546218487,476,88436.76449999989,97653.01383199994
480,Decile 2,0.42932158119658115,468,97667.37895899997,106881.43025299977
480,Decile 3,0.42366083150984685,457,106926.299194,117080.93029499936
480,Decile 4,0.4237200902934537,443,117146.826052,129194.69028899996
480,Decile 5,0.4278201856148492,431,129249.27908200015,144102.28453799957
480,Decile 6,0.41491101694915256,472,144108.9833449998,163933.04739499989
480,Decile 7,0.3859006024096385,498,164018.97364100002,199565.025801
480,Decile 8,0.316049815498155,542,199660.43247300017,300275.0529909999
480,Decile 9,0.28199913494809686,578,300653.0830789996,621381.3452940036
480,Decile 10 (highest),0.2811504201680672,595,621410.6510470011,172972056.63332495
540,Decile 1 (lowest),0.4249501084598698,461,88436.76449999989,97646.906819
540,Decile 2,0.4259688195991091,449,97667.37895899997,106881.43025299977
540,Decile 3,0.4212477375565611,442,106926.299194,117080.93029499936
540,Decile 4,0.4183641826923077,416,117146.826052,129194.69028899996
540,Decile 5,0.4247622549019608,408,129249.27908200015,144102.28453799957
540,Decile 6,0.4080858123569794,437,144108.9833449998,163903.887787
540,Decile 7,0.3781131465517241,464,164018.97364100002,199565.025801
540,Decile 8,0.309542226487524,521,199660.43247300017,300275.0529909999
540,Decile 9,0.282044425087108,574,300653.0830789996,621381.3452940036
540,Decile 10 (highest),0.2808575042158516,593,621410.6510470011,172972056.63332495
600,Decile 1 (lowest),0.4233318485523385,449,88436.76449999989,97646.906819
600,Decile 2,0.42300584112149536,428,97667.37895899997,106881.43025299977
600,Decile 3,0.4162028985507246,414,106926.299194,117080.93029499936
600,Decile 4,0.4141679487179487,390,117146.826052,129194.69028899996
600,Decile 5,0.42158769633507853,382,129249.27908200015,144102.28453799957
600,Decile 6,0.40336385542168673,415,144108.9833449998,163903.887787
600,Decile 7,0.3684907621247113,433,164018.97364100002,199565.025801
600,Decile 8,0.3043217821782178,505,199660.43247300017,300275.0529909999
600,Decile 9,0.2803128295254833,569,300653.0830789996,621381.3452940036
600,Decile 10 (highest),0.28052546689303903,589,621410.6510470011,172972056.63332495
660,Decile 1 (lowest),0.41894811320754716,424,88436.76449999989,97646.906819
660,Decile 2,0.4178875,400,97667.37895899997,106881.43025299977
660,Decile 3,0.41228717948717947,390,106926.299194,117080.93029499936
660,Decile 4,0.40952997275204356,367,117146.826052,129194.69028899996
660,Decile 5,0.4160333333333333,360,129249.27908200015,144078.13384399982
660,Decile 6,0.40076184538653364,401,144186.7553829999,163903.887787
660,Decile 7,0.36455238095238096,420,164018.97364100002,199565.025801
660,Decile 8,0.29929757085020237,494,199660.43247300017,300275.0529909999
660,Decile 9,0.2758160714285714,560,300653.0830789996,621381.3452940036
660,Decile 10 (highest),0.27854599659284496,587,621410.6510470011,172972056.63332495
720,Decile 1 (lowest),0.41351637279596976,397,88436.76449999989,97646.906819
720,Decile 2,0.41228552278820374,373,97667.37895899997,106856.02341400004
720,Decile 3,0.40688203753351204,373,106964.79420899984,117080.93029499936
720,Decile 4,0.4037023460410557,341,117146.826052,129156.34190499983
720,Decile 5,0.4111991150442478,339,129249.27908200015,144078.13384399982
720,Decile 6,0.39531853785900783,383,144186.7553829999,163903.887787
720,Decile 7,0.3586600496277915,403,164018.97364100002,199565.025801
720,Decile 8,0.29760245901639343,488,199660.43247300017,300275.0529909999
720,Decile 9,0.27349190647482013,556,300653.0830789996,621381.3452940036
720,Decile 10 (highest),0.27884667802385005,587,621410.6510470011,172972056.63332495
780,Decile 1 (lowest),0.4078010752688172,372,88437.42444700007,97646.906819
780,Decile 2,0.40756920903954796,354,97667.37895899997,106856.02341400004
780,Decile 3,0.40316106442577027,357,106964.79420899984,117080.93029499936
780,Decile 4,0.39742812499999997,320,117146.826052,129156.34190499983
780,Decile 5,0.4092599388379205,327,129249.27908200015,144078.13384399982
780,Decile 6,0.3886454293628809,361,144186.7553829999,163903.887787
780,Decile 7,0.35479999999999995,390,164018.97364100002,199565.025801
780,Decile 8,0.2952551867219917,482,199660.43247300017,300275.0529909999
780,Decile 9,0.27346396396396394,555,300653.0830789996,621381.3452940036
780,Decile 10 (highest),0.2793526405451448,587,621410.6510470011,172972056.63332495
840,Decile 1 (lowest),0.40277857142857143,350,88437.42444700007,97646.906819
840,Decile 2,0.39891203703703704,324,97667.37895899997,106856.02341400004
840,Decile 3,0.3959672619047619,336,106964.79420899984,117080.93029499936
840,Decile 4,0.390013422818792,298,117146.826052,129156.34190499983
840,Decile 5,0.4054570063694268,314,129249.27908200015,144078.13384399982
840,Decile 6,0.3823982300884956,339,144338.91262200018,163903.887787
840,Decile 7,0.3513394736842105,380,164018.97364100002,199565.025801
840,Decile 8,0.293982254697286,479,199660.43247300017,300275.0529909999
