horizon_min,volume_bucket,n_rows,n_price_available,n_staleness_available,mean_staleness_min,median_staleness_min,p90_staleness_min,decile_volume_min,decile_volume_max
10,Decile 1 (lowest),3000,841,841,160.38737613951645,9.383333333333333,19.2,88428.8872629999,100493.179272
10,Decile 2,3000,873,873,231.47934326078658,9.383333333333333,19.15,100494.427236,113333.845187
10,Decile 3,3000,820,820,285.0579674796748,9.366666666666667,19.116666666666667,113337.833364,128599.649061
10,Decile 4,3000,760,760,290.0939692982456,9.383333333333333,19.135,128612.266046,146338.090948
10,Decile 5,3000,724,724,346.4310082872928,9.383333333333333,19.128333333333334,146342.78853100023,170866.05737899995
10,Decile 6,3000,573,573,685.9614019778941,9.4,29.08333333333333,170884.843911,207390.394031
10,Decile 7,3000,407,407,945.4432022932024,9.4,6523.270000000026,207390.49136199968,267325.838332
10,Decile 8,3000,389,389,1062.678706083976,9.4,7191.183333333333,267391.98381600075,387725.630436
10,Decile 9,3000,490,490,846.5220068027211,9.4,1544.1900000000035,387838.113042,711162.203510001
10,Decile 10 (highest),3000,548,548,572.3246350364964,9.366666666666667,39.03333333333333,711337.070103,235065166.637259
30,Decile 1 (lowest),3000,830,830,160.569297188755,9.333333333333334,19.084999999999997,88428.8872629999,100493.179272
30,Decile 2,3000,865,865,231.95971098265898,9.333333333333334,19.05,100494.427236,113333.845187
30,Decile 3,3000,806,806,288.4587675765095,9.333333333333334,19.03333333333333,113337.833364,128599.649061
30,Decile 4,3000,756,756,290.398544973545,9.333333333333334,19.05,128612.266046,146338.090948
30,Decile 5,3000,719,719,347.4203059805285,9.366666666666667,19.05,146342.78853100023,170866.05737899995
30,Decile 6,3000,569,569,688.3257762155829,9.366666666666667,19.136666666666667,170884.843911,207390.394031
30,Decile 7,3000,406,406,944.8490147783251,9.35,6579.316666666667,207390.49136199968,267325.838332
30,Decile 8,3000,386,386,1067.0432210708118,9.366666666666667,7174.258333333333,267391.98381600075,387725.630436
30,Decile 9,3000,488,488,846.9189549180328,9.366666666666667,1554.1700000000017,387838.113042,711162.203510001
30,Decile 10 (highest),3000,548,548,569.5848236009732,9.333333333333334,19.133333333333333,711337.070103,235065166.637259
60,Decile 1 (lowest),3000,810,810,161.95672839506173,9.316666666666666,9.533333333333331,88428.8872629999,100493.179272
60,Decile 2,3000,845,845,235.9228402366864,9.333333333333334,9.55,100494.427236,113333.845187
60,Decile 3,3000,778,778,296.89385175664097,9.333333333333334,9.583333333333334,113337.833364,128599.649061
60,Decile 4,3000,744,744,293.4388216845878,9.35,9.6,128612.266046,146338.090948
60,Decile 5,3000,709,709,350.4324400564175,9.366666666666667,9.603333333333333,146342.78853100023,170866.05737899995
