volatility_bucket,n_markets,volatility_min,volatility_max,volatility_mean,volatility_median,mean_abs_isotonic_gap,median_abs_isotonic_gap,mean_abs_error_last_trade,median_abs_error_last_trade,mean_brier_last_trade,median_brier_last_trade,volatility_metric,bucket_rank
Decile 1 (lowest),643,0.0,0.0,0.0,0.0,0.0052388946546357085,0.002701590001613813,0.35419673405909796,0.495,0.17912670567651634,0.245025,volatility_std,1
Decile 2,642,0.0,0.0,0.0,0.0,0.0033138609129289304,0.0029679019700756875,0.48114018691588784,0.5,0.24070896573208722,0.25,volatility_std,2
Decile 3,643,0.0,0.0,0.0,0.0,0.002907169225062452,0.0029224568338145776,0.4822029548989113,0.5,0.2411496590202177,0.25,volatility_std,3
Decile 4,642,0.0,0.0,0.0,0.0,0.0030566209861568987,0.0029224568338145776,0.48489018691588787,0.5,0.24249190771028037,0.25,volatility_std,4
Decile 5,643,0.0,1.1102230246251565e-16,1.9388165256776554e-17,0.0,0.004576508043880963,0.0029224568338145776,0.4278942457231726,0.49500000000000005,0.2140214727838258,0.24502500000000002,volatility_std,5
Decile 6,642,1.1102230246251565e-16,0.0009442628728875527,0.00013508614551464198,1.1102230246251565e-16,0.002031391557397937,0.0023528338525518055,0.28140622143231175,0.495,0.14035538139860745,0.245025,volatility_std,6
Decile 7,642,0.0009442628728875535,0.0025773360626232303,0.0019040586761712,0.0020516295166207264,0.00811920470341489,0.0029151227883569197,0.39656299907814063,0.49936141304347825,0.2004414140987361,0.2493656929347826,volatility_std,7
Decile 8,643,0.002579331162441506,0.00724355822800295,0.00460844782058587,0.004543645980142706,0.022210031846301995,0.015846538900964827,0.34770050868679686,0.43444444444444447,0.17393519101553365,0.18875,volatility_std,8
Decile 9,642,0.00724355822800295,0.023428377854407437,0.013202472212437071,0.012133567150457146,0.025275164661911497,0.017757438604357856,0.37969340190271034,0.46326388888888886,0.1907758800138602,0.21480520833333328,volatility_std,9
Decile 10 (highest),643,0.023449713287254457,0.3581386452984352,0.07551756999647702,0.05723776008631205,0.03382714955437286,0.03269077569627465,0.38868555427295515,0.4098148148148148,0.20568034562171386,0.17870185185185175,volatility_std,10
Decile 1 (lowest),643,0.0,0.0,0.0,0.0,0.005508839038696808,0.002549791876232582,0.29206531881804043,0.49499999999999994,0.14737803110419906,0.245025,volatility_range,1
Decile 2,642,0.0,0.0,0.0,0.0,0.0033719426246355826,0.0028923468704639766,0.459363707165109,0.49500000000000005,0.2305254489875389,0.24502500000000002,volatility_range,2
Decile 3,643,0.0,0.0,0.0,0.0,0.003399215939549474,0.002913312027929964,0.47514152410575433,0.5,0.2378644758942457,0.25,volatility_range,3
Decile 4,642,0.0,0.0,0.0,0.0,0.003000980370984025,0.0029224568338145776,0.47217601246105917,0.5,0.23583942133956384,0.25,volatility_range,4
Decile 5,643,0.0,0.0,0.0,0.0,0.003171379724162838,0.002913312027929964,0.47740902021772935,0.5,0.23868990202177295,0.25,volatility_range,5
Decile 6,642,0.0,0.004,0.0005202492211838011,0.0,0.002695548775229492,0.002701590001613813,0.33563729908317136,0.495,0.1675732785804466,0.245025,volatility_range,6
Decile 7,642,0.004,0.010000000000000009,0.005925233644859816,0.0050000000000000044,0.00953456379593506,0.0029151227883569197,0.3906432461089805,0.49892857142857144,0.1965202956289939,0.24893392857142857,volatility_range,7
Decile 8,643,0.010000000000000009,0.025000000000000022,0.015422239502332822,0.015000000000000013,0.021606164897595533,0.014364603970814353,0.3746345565851701,0.4775,0.18899936898538205,0.22802083333333334,volatility_range,8
Decile 9,642,0.025000000000000022,0.089,0.04895950155763241,0.04500000000000001,0.024472780788508577,0.017165853733259216,0.3666990233808565,0.46283119658119654,0.18376911385927297,0.21479503205128203,volatility_range,9
Decile 10 (highest),643,0.08999999999999997,0.9550000000000001,0.2639447900466563,0.21000000000000002,0.033796570196262046,0.03259287181946075,0.38060457101747314,0.39370370370370367,0.20152673754001282,0.1686564814814815,volatility_range,10
