market_id,volatility_std,volatility_range,horizon_count_used,n_tidy_rows,mean_abs_error_last_trade,median_abs_error_last_trade,mean_brier_last_trade,median_brier_last_trade,n_isotonic_rows,mean_abs_isotonic_gap,median_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap
601697,,,0,27,,,,,,,,,
601700,,,0,27,,,,,,,,,
654415,0.0,0.0,27,27,0.0005,0.0005,2.5e-07,2.5e-07,27.0,0.0005,0.0005,0.0005,1.0
680392,,,0,27,,,,,,,,,
1180303,,,0,27,,,,,,,,,
601699,,,0,27,,,,,,,,,
1484949,0.0008314794192830981,0.0029999999999999996,27,27,0.0023888888888888887,0.0025,6.398148148148148e-06,6.25e-06,27.0,0.001793921690112287,0.0015,0.0016134857172951207,0.8148148148148148
601698,,,0,27,,,,,,,,,
1198423,,,0,27,,,,,,,,,
654413,0.0008164965809277258,0.0029999999999999996,27,27,0.004166666666666667,0.0035,1.8027777777777776e-05,1.225e-05,27.0,0.002105939177857945,0.0016728395061728395,0.0007829497110309439,0.37037037037037035
1162940,0.025279805915109872,0.0875,27,27,0.06907407407407408,0.0625,0.005410296296296289,0.00390625,27.0,0.021182359531159493,0.025108695652173916,0.009711360068229815,0.7407407407407407
540236,,,0,27,,,,,,,,,
540225,,,0,27,,,,,,,,,
916732,,,0,27,,,,,,,,,
958442,0.0017906555190568255,0.004999999999999999,27,27,0.003185185185185185,0.0025,1.335185185185185e-05,6.25e-06,27.0,0.002288449316024319,0.0015,0.002218869451544834,0.9259259259259259
540210,,,0,27,,,,,,,,,
540230,,,0,27,,,,,,,,,
540213,,,0,27,,,,,,,,,
540222,,,0,27,,,,,,,,,
1106713,,,0,27,,,,,,,,,
540228,,,0,27,,,,,,,,,
540206,,,0,27,,,,,,,,,
1092199,,,0,27,,,,,,,,,
540212,,,0,27,,,,,,,,,
540229,,,0,27,,,,,,,,,
1269423,,,0,27,,,,,,,,,
1192781,,,0,27,,,,,,,,,
1144023,,,0,27,,,,,,,,,
1303355,,,0,27,,,,,,,,,
704339,,,0,27,,,,,,,,,
1082748,,,0,27,,,,,,,,,
1386664,,,0,27,,,,,,,,,
1473040,0.0,0.0,27,27,0.0005,0.0005,2.5e-07,2.5e-07,27.0,0.0005,0.0005,0.0005,1.0
1423580,,,0,27,,,,,,,,,
1328039,,,0,27,,,,,,,,,
569426,,,0,27,,,,,,,,,
569437,,,0,27,,,,,,,,,
1320793,,,0,27,,,,,,,,,
540227,,,0,27,,,,,,,,,
1335520,,,0,27,,,,,,,,,
1386659,,,0,27,,,,,,,,,
994900,,,0,27,,,,,,,,,
1467766,0.1001918564219591,0.30100000000000005,27,27,0.13340740740740736,0.1444999999999999,0.027835944444444396,0.0208802499999999,27.0,0.03269077569627465,0.032352941176470584,-0.005402385670364494,0.3333333333333333
1405325,,,0,27,,,,,,,,,
1235517,,,0,27,,,,,,,,,
540234,,,0,27,,,,,,,,,
1273610,,,0,27,,,,,,,,,
540214,,,0,27,,,,,,,,,
1386662,,,0,27,,,,,,,,,
1386657,,,0,27,,,,,,,,,
1175504,,,0,27,,,,,,,,,
1219725,,,0,27,,,,,,,,,
1308327,,,0,27,,,,,,,,,
666860,0.0003600411499115478,0.001,27,27,0.0006666666666666668,0.0005,5.740740740740741e-07,2.5e-07,27.0,0.0006666666666666668,0.0005,0.0006666666666666668,1.0
1082749,,,0,27,,,,,,,,,
1082781,,,0,27,,,,,,,,,
1386656,,,0,27,,,,,,,,,
1174854,,,0,27,,,,,,,,,
1516204,0.00043822813208145307,0.001,27,27,0.0007592592592592593,0.0005,7.685185185185185e-07,2.5e-07,27.0,0.0007592592592592593,0.0005,0.0007592592592592593,1.0
1174855,,,0,27,,,,,,,,,
1455604,0.2918877997695707,0.9125,27,27,0.5197222222222222,0.56,0.3553096759259259,0.3136,27.0,0.05229521086187563,0.05166666666666664,0.02198561676277695,0.5925925925925926
1168862,,,0,27,,,,,,,,,
1386650,,,0,27,,,,,,,,,
1219722,,,0,27,,,,,,,,,
1391203,,,0,27,,,,,,,,,
1111834,,,0,27,,,,,,,,,
516710,,,0,27,,,,,,,,,
1335034,,,0,27,,,,,,,,,
540226,,,0,27,,,,,,,,,
1094682,,,0,27,,,,,,,,,
916440,,,0,27,,,,,,,,,
